Id,Prediction
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,1
21,0
22,1
23,0
24,1
25,1
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,0
43,0
44,1
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,1
63,1
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,0
74,1
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,1
89,0
90,0
91,0
92,0
93,0
94,1
95,1
96,1
97,0
98,0
99,1
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,0
110,1
111,0
112,1
113,1
114,1
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,1
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,0
155,1
156,1
157,1
158,1
159,0
160,1
161,0
162,0
163,0
164,1
165,0
166,1
167,1
168,1
169,0
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,0
184,0
185,1
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,0
194,1
195,0
196,0
197,1
198,1
199,0
200,1
201,1
202,1
203,0
204,1
205,0
206,1
207,0
208,0
209,0
210,1
211,0
212,1
213,0
214,1
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,1
223,0
224,1
225,1
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,1
235,1
236,0
237,1
238,0
239,0
240,0
241,1
242,1
243,1
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,1
253,1
254,0
255,0
256,0
257,1
258,0
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,0
267,1
268,0
269,0
270,1
271,1
272,0
273,1
274,1
275,0
276,0
277,1
278,0
279,1
280,0
281,1
282,0
283,1
284,1
285,1
286,1
287,1
288,0
289,1
290,0
291,1
292,0
293,1
294,1
295,1
296,0
297,0
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,1
306,1
307,1
308,0
309,1
310,0
311,1
312,0
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,0
328,1
329,1
330,1
331,1
332,0
333,1
334,0
335,0
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,1
361,1
362,0
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,1
372,0
373,0
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,1
404,0
405,0
406,1
407,1
408,1
409,0
410,1
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,1
419,1
420,1
421,0
422,1
423,0
424,0
425,1
426,0
427,1
428,1
429,0
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,1
438,0
439,0
440,1
441,1
442,0
443,1
444,1
445,0
446,1
447,1
448,1
449,1
450,0
451,1
452,1
453,0
454,0
455,1
456,0
457,0
458,0
459,1
460,1
461,0
462,1
463,0
464,1
465,1
466,1
467,1
468,0
469,0
470,0
471,1
472,1
473,1
474,1
475,1
476,0
477,0
478,1
479,1
480,0
481,0
482,1
483,1
484,1
485,1
486,1
487,0
488,0
489,1
490,0
491,0
492,1
493,1
494,0
495,0
496,1
497,1
498,0
499,1
500,0
501,0
502,0
503,1
504,1
505,1
506,1
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,1
515,1
516,1
517,1
518,0
519,1
520,0
521,0
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,0
530,1
531,1
532,1
533,0
534,0
535,0
536,0
537,1
538,1
539,0
540,1
541,1
542,0
543,0
544,1
545,1
546,1
547,0
548,0
549,1
550,1
551,0
552,0
553,0
554,1
555,0
556,0
557,1
558,0
559,1
560,1
561,1
562,1
563,1
564,0
565,0
566,0
567,1
568,0
569,1
570,0
571,1
572,1
573,0
574,0
575,0
576,0
577,1
578,1
579,0
580,1
581,0
582,1
583,0
584,1
585,1
586,1
587,1
588,1
589,0
590,0
591,1
592,0
593,1
594,0
595,0
596,1
597,0
598,1
599,0
600,1
601,1
602,0
603,1
604,1
605,1
606,1
607,1
608,1
609,0
610,0
611,1
612,0
613,1
614,1
615,1
616,1
617,0
618,1
619,0
620,0
621,1
622,1
623,1
624,1
625,1
626,0
627,0
628,1
629,0
630,0
631,1
632,0
633,1
634,0
635,0
636,0
637,1
638,0
639,0
640,1
641,0
642,0
643,1
644,1
645,0
646,1
647,0
648,1
649,1
650,1
651,0
652,1
653,1
654,1
655,1
656,0
657,0
658,1
659,1
660,1
661,0
662,1
663,0
664,1
665,0
666,0
667,1
668,0
669,1
670,1
671,0
672,1
673,0
674,1
675,1
676,1
677,0
678,0
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,1
690,1
691,1
692,1
693,0
694,1
695,1
696,0
697,0
698,1
699,0
700,1
701,0
702,0
703,1
704,0
705,0
706,0
707,0
708,1
709,0
710,1
711,1
712,0
713,0
714,0
715,0
716,0
717,0
718,1
719,0
720,0
721,1
722,1
723,1
724,1
725,1
726,0
727,1
728,1
729,0
730,0
731,1
732,1
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,1
742,1
743,1
744,0
745,1
746,0
747,1
748,0
749,0
750,1
751,0
752,0
753,0
754,1
755,0
756,0
757,0
758,1
759,0
760,1
761,1
762,0
763,0
764,0
765,0
766,1
767,1
768,0
769,0
770,1
771,1
772,1
773,0
774,1
775,1
776,1
777,1
778,0
779,0
780,0
781,0
782,1
783,0
784,1
785,0
786,1
787,1
788,1
789,0
790,1
791,0
792,0
793,0
794,0
795,1
796,1
797,0
798,1
799,1
800,1
801,0
802,0
803,1
804,1
805,1
806,0
807,1
808,0
809,1
810,0
811,1
812,1
813,1
814,0
815,0
816,1
817,0
818,1
819,1
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,1
828,1
829,1
830,1
831,0
832,1
833,0
834,0
835,1
836,0
837,0
838,0
839,0
840,1
841,1
842,0
843,1
